Priorite;Societe;Type;Zones;Volume;Instagram;Telephone / WhatsApp;Email;Angle;Statut contact;Source;Date consultation
A;Espaço Reis Imóveis;Immobilier + administration de locations;Armação dos Búzios, Rio de Janeiro;800+ biens a la vente, 300+ en location;instagram.com/espacoreisimoveis (35K abonnes);n.d.;n.d.;Le plus gros stock de Búzios, tout en photo, volume qui justifie le traitement par lots;A contacter;Recherche web (Instagram, espacoreisimoveis.com.br);2026-08-04
A;Casa d'Búzios;Location de maisons de temporada;Armação dos Búzios;n.d. (5+ ans d'activite);instagram.com/casadbuziosoficial (202K abonnes);n.d.;n.d.;202 000 abonnes, donc une audience deja captive qui consomme de la video verticale;A contacter;Recherche web (Instagram);2026-08-04
A;Angra Luxo;Immobilier haut de gamme + location;Angra dos Reis, Porto Frade, Portobello;n.d.;instagram.com/angraluxo;(24) 99942-5298;n.d.;Condominiums fermes de Porto Frade et Portobello, biens tres visuels;A contacter;Recherche web (angraluxo.com.br, Instagram);2026-08-04
A;Casa de Férias Angra;Gestion + location + vente;Angra dos Reis;200+ proprietes;instagram.com/casadeferiasangra;n.d.;n.d.;200 biens en portefeuille, cout par bien determinant;A contacter;Recherche web (Instagram);2026-08-04
A;Canaã Imóveis;Immobilier de luxe et yachts;Angra dos Reis, Costa Verde;n.d.;n.d.;n.d.;n.d.;Maisons et yachts, le mouvement est exactement ce que la photo ne rend pas;A contacter;Recherche web (canaaimoveisangra.com.br);2026-08-04
A;Casa da Praia Angra;Hebergement + location temporada;Angra dos Reis;n.d. (Superhost Airbnb, note 9,4 Booking);instagram.com/casadapraia_angra;n.d. (WhatsApp publie sur le site);n.d.;Superhost, donc sensible a la performance de l'annonce;A contacter;Recherche web (Instagram);2026-08-04
A;Buzios Luxury Rentals;Location de villas de luxe;Armação dos Búzios;n.d.;instagram.com/buziosluxuryrentals;n.d.;n.d.;Positionnement luxe, argument sur le volume des espaces et non sur le prix;A contacter;Recherche web (Instagram);2026-08-04
A;Imobiliária Ilha Bela;Vente, location annuelle et temporada, administration;Ilhabela, São Paulo;n.d. (38 ans d'activite);instagram.com/imobiliariailhabela;n.d.;n.d.;38 ans de portefeuille accumule, presentation datee;A contacter;Recherche web (Instagram);2026-08-04
A;Ilha Imóveis;Location et vente (CRECI 80029);Ilhabela, São Paulo;n.d. (16 ans d'activite);instagram.com/ilhabela_imoveis;(12) 99766-7766;n.d.;Ilhabela, acces bateau, la video verticale montre le trajet et le cadre;A contacter;Recherche web (Instagram);2026-08-04
A;ND Ilhabela Imóveis;Vente, location et administration;Ilhabela, São Paulo;n.d.;n.d.;(12) 99747-5395 (locations) / (12) 99114-4280 (administration);contato@ndilhabelaimoveis.com.br;Deux lignes distinctes location et administration, structure organisee;A contacter;Recherche web (ndilhabelaimoveis.com.br);2026-08-04
A;Imóveis de Luxo & Cia;Temporada et evenements haut de gamme;Ilhabela, São Caetano do Sul;n.d.;n.d.;n.d.;n.d.;Maisons de 40 personnes pour evenements, la video vend l'espace;A contacter;Recherche web (imoveisdeluxocia.com.br);2026-08-04
B;Anfitrião Prime;Gestion locative temporada;National : Búzios, Cabo Frio, Fernando de Noronha, littoral;1 000 a 2 000 logements;instagram.com/anfitriao_prime;n.d.;n.d.;Le plus gros gestionnaire du pays, raisonne uniquement en cout par bien;A contacter;Recherche web (anfitriaoprime.com.br, Instagram, LinkedIn);2026-08-04
B;Charlie (StayCharlie);Short stay, immeubles entiers;São Paulo, Rio de Janeiro, Porto Alegre;n.d. (startup financee, immeubles complets);instagram.com/stay_charlie;(11) 94075-8022;comercial@staycharlie.com.br;30% des reservations en direct sur leur site, donc contenu propre a alimenter;A contacter;Recherche web (staycharlie.com.br, Exame, InfoMoney);2026-08-04
B;Omar do Rio;Location temporada;Armação dos Búzios, Rio de Janeiro;200+ logements;n.d.;(21) 2018-7696;n.d.;200 logements, entrees continues, cadence impossible en tournage;A contacter;Recherche web (omardorio.com.br);2026-08-04
B;Férias Itacaré;Gestion locative temporada;Itacaré, Costa do Cacau, Bahia;56 logements, 13 immeubles;n.d.;n.d. (WhatsApp publie sur le site);n.d.;Le plus gros gestionnaire de la Costa do Cacau, zone encore peu equipee en video;A contacter;Recherche web (feriasitacare.com.br);2026-08-04
B;Host.book;Gestion locative temporada;Região dos Lagos, Rio de Janeiro;n.d.;instagram.com/host.book;n.d.;n.d.;Gestion complete pour proprietaires, la video est un argument de recrutement de mandats;A contacter;Recherche web (Instagram);2026-08-04
B;WeCare Hosting;Gestion locative haut de gamme;São Paulo capitale, Granja Viana, littoral;n.d. (depuis 2017, Superhost);n.d. (Facebook : aluguewecare);n.d.;n.d.;Boutique haut de gamme sur São Paulo, exigence visuelle forte;A contacter;Recherche web (wecarehosting.com.br, LinkedIn);2026-08-04
B;Anfitrião SP;Gestion locative Airbnb;São Paulo et region ABC;n.d. (4 000+ reservations, 6 ans);n.d.;n.d.;n.d.;Portefeuille volontairement restreint, donc chaque annonce compte double;A contacter;Recherche web (anfitriaosp.com.br);2026-08-04
B;Anfitrião São Paulo;Gestion Airbnb et Booking;São Paulo;n.d.;n.d.;n.d.;n.d.;Met deja en avant la photo professionnelle, la video est l'etape suivante;A contacter;Recherche web (anfitriaosaopaulo.com.br);2026-08-04
B;Casas Angra dos Reis;Location de maisons temporada;Angra dos Reis;n.d.;n.d.;+55 21 99584-6774;n.d.;Maisons familiales de cinq chambres, marche de la reservation groupee;A contacter;Recherche web (casasangradosreis.com.br);2026-08-04
