Priorite;Societe;Type;Zones;Site;WhatsApp;Email;Instagram;Angle;Statut contact;Source;Date consultation
A;Matueté Villas;Villas de luxe avec service;Trancoso, Búzios, Angra dos Reis, Ilhabela, Paraty;matuetevillas.com;+5511984985186;villas@matuete.com;instagram.com/matuetevillas;Catalogue multi-destinations, tout présenté en photo;A contacter;Site officiel matuetevillas.com;2026-08-04
A;Villas in Brazil;Villas de luxe + conciergerie;Angra dos Reis, Trancoso;villasinbrazil.com;+5521998037681;info@villasinbrazil.com;instagram.com/villasinbrazil;Clientèle internationale qui réserve sans avoir vu la maison;A contacter;Site officiel villasinbrazil.com;2026-08-04
A;WhereInRio;Villas de luxe + conciergerie;Rio de Janeiro, Búzios;whereinrio.com;+5521965319121;info@whereinrio.com;instagram.com/whereinrio;Maisons signées par des architectes, volume que la photo ne rend pas;A contacter;Site officiel whereinrio.com;2026-08-04
A;NIAMÃ;Villas de luxe avec service complet;Trancoso, Bahia;niama.com.br;+5573988495317;reservas@niama.com.br;instagram.com/alugueltrancoso;Altos de Trancoso, service chef sommelier chauffeur;A contacter;Site officiel niama.com.br;2026-08-04
A;Cocar Trancoso;Villas de temporada, portefeuille propre;Trancoso, Bahia;cocartrancoso.com;+5571991696993;reservas@cocartrancoso.com;instagram.com/cocartrancoso;Exploite uniquement ses propres maisons, décide seul;A contacter;Site officiel cocartrancoso.com;2026-08-04
A;Latin Exclusive;Location saisonnière, longue durée et vente;Angra dos Reis (bureaux internationaux);latinexclusive.com;+5521982071352;n.d.;instagram.com/latin_exclusive;Une vidéo sert la location et la vente;A contacter;Site officiel latinexclusive.com;2026-08-04
B;Porto Bracuhy Imóveis;Immobilier et location de luxe;Angra dos Reis, Rio de Janeiro;portobracuhy.com.br;+5521991482404;n.d.;instagram.com/portobracuhy;Condominium fermé avec marina, biens très visuels;A contacter;Site officiel portobracuhy.com.br;2026-08-04
B;Bahia Luxury;Immobilier et location de luxe;Trancoso, Bahia;bahialuxury.com.br;+557398439000;contato@bahialuxury.com.br;instagram.com/bahialuxuryimoveis;Portefeuille entièrement statique, aucune vidéo;A contacter;Site officiel bahialuxury.com.br;2026-08-04
B;Holmy;Plateforme de maisons et villas de temporada;Trancoso;holmy.com.br;+5511933754731;n.d.;instagram.com/holmy;Volume de biens listés, tournage impossible à l'échelle;A contacter;Site officiel holmy.com.br;2026-08-04
B;Floripa Minha Hospedagem;Gestion locative courte durée;Florianópolis, Santa Catarina;floripaminhahospedagem.com.br;+5548988555811;contato@floripaminhahospedagem.com.br;instagram.com/floripaminhahospedagem;Réseau de co-hôtes Airbnb depuis 2024, entrées de biens continues;A contacter;Site officiel floripaminhahospedagem.com.br;2026-08-04
B;Smartbnb;Gestion locative courte durée;Rio de Janeiro;smartbnb.com.br;+5521971313905;n.d.;instagram.com/smartbnb.br;Marché de Rio saturé, la vignette décide du clic;A contacter;Site officiel smartbnb.com.br;2026-08-04
B;HostnJoy;Gestion locative courte durée;São Paulo, Rio, Belo Horizonte, Florianópolis, Brasília;hostnjoy.com.br;+5531986044645;contato@hostnjoy.com;instagram.com/hostnjoy;Cinq villes, raisonne en coût par bien;A contacter;Site officiel hostnjoy.com.br;2026-08-04
